tconst,primaryTitle,genres,numVotes,averageRating,startYear,SeriesName
tt6816780,Little Boy Blue,"Crime,Drama,Mystery",3068,7.9,2017,Little Boy Blue (2017)
tt6821044,The Loudest Voice,"Biography,Drama",10777,7.9,2019,The Loudest Voice (2019)
tt6824234,Fight for My Way,"Comedy,Romance",3360,8.1,2017,Fight for My Way (2017)
tt6834020,Trauma,"Drama,Mystery,Thriller",1446,5.8,2018,Trauma (2018)
tt6835252,Three Girls,"Biography,Crime,Drama",3286,8.2,2017,Three Girls (2017)
tt6839788,Dogs of Berlin,"Action,Crime,Drama",10222,7.6,2018,Dogs of Berlin (2018)
tt6840134,The Putin Interviews,"Biography,Documentary",3869,7.5,2017,The Putin Interviews (2017)
tt6845846,Akashic Records of Bastard Magical Instructor,"Action,Animation,Comedy",1230,7.1,2017,Akashic Records of Bastard Magical Instructor (2017)
tt6849726,"Psi laju, vetar nosi","Comedy,Drama",1508,6.7,2017,"Psi laju, vetar nosi (2017)"
tt6849940,ReBoot: The Guardian Code,"Action,Comedy,Drama",1076,3.7,2018,ReBoot: The Guardian Code (2018)
tt6853528,Little Women,Drama,3419,7.2,2017,Little Women (2017)
tt6856484,Ghost Wars,"Drama,Fantasy,Horror",4127,6.3,2017,Ghost Wars (2017)
tt6859806,Mrs. Wilson,"Biography,Drama,Mystery",5453,7.5,2018,Mrs. Wilson (2018)
tt6866266,Escape at Dannemora,"Biography,Crime,Drama",18678,8,2018,Escape at Dannemora (2018)
tt6868278,The Test Case,"Action,Drama",1325,8.4,2018,The Test Case (2018)
tt6873658,The Mechanism,"Crime,Drama,Thriller",35434,8.4,2018,The Mechanism (2018)
tt6874206,Making It,"Comedy,Reality-TV",1047,7.9,2018,Making It (2018)
tt6877772,American Vandal,"Comedy,Crime,Drama",26676,8.2,2017,American Vandal (2017)
tt6881870,Frankie Drake Mysteries,"Crime,Drama,Mystery",1557,6.7,2017,Frankie Drake Mysteries (2017)
tt6883044,Bose: Dead/Alive,"Biography,History,Mystery",5646,8.8,2017,Bose: Dead/Alive (2017)
tt6889090,The Miniaturist,"Drama,Mystery",3960,7,2017,The Miniaturist (2017)
tt6897680,InMates,Comedy,1086,6.6,2017,InMates (2017)
tt6898970,Tidelands,"Crime,Drama,Fantasy",6485,7,2018,Tidelands (2018)
tt6902574,h3h3Productions,Comedy,1402,7.8,2013,h3h3Productions (2013)
tt6903284,Nightflyers,"Drama,Horror,Mystery",11613,5.9,2018,Nightflyers (2018)
tt6905458,The Shivering Truth,"Animation,Comedy,Fantasy",1320,8,2018,The Shivering Truth (2018)
tt6905542,The Dark Crystal: Age of Resistance,"Adventure,Drama,Family",21204,8.5,2019,The Dark Crystal: Age of Resistance (2019)
tt6905686,Lovecraft Country,"Drama,Fantasy,Horror",27856,7.1,2020,Lovecraft Country (2020)
tt6905756,Pagan Peak,"Crime,Drama,Mystery",3994,8,2018,Pagan Peak (2018)
tt6908976,Knights of the Zodiac: Saint Seiya,"Action,Adventure,Animation",1606,4.5,2019,Knights of the Zodiac: Saint Seiya (2019)
tt6916746,Alexa & Katie,"Comedy,Drama",3024,7.5,2018,Alexa & Katie (2018)
tt6920310,Görünen Adam,"Adventure,Comedy,Fantasy",1511,6.9,2017,Görünen Adam (2017)
tt6928052,Free Rein,"Action,Adventure,Comedy",1615,7.3,2017,Free Rein (2017)
tt6932244,Hanna,"Action,Drama",25806,7.5,2019,Hanna (2019)
tt6938856,A Very English Scandal,"Biography,Comedy,Crime",10205,7.7,2018,A Very English Scandal (2018)
tt6942048,Söz,"Action,Drama,Romance",2687,6.7,2017,Söz (2017)
tt6951546,Animaniacs,"Animation,Comedy,Family",1711,7.9,2020,Animaniacs (2020)
tt6954652,Jack Taylor,"Crime,Drama",1712,7.5,2010,Jack Taylor (2010)
